date,asset,close
2024-01-02,S000,100.6094
2024-01-02,S001,97.92
2024-01-02,S002,101.5009
2024-01-02,S003,101.8811
2024-01-02,S004,96.0979
2024-01-02,S005,97.3956
2024-01-03,S000,100.8667
2024-01-03,S001,97.3007
2024-01-03,S002,101.4668
2024-01-03,S003,100.1429
2024-01-03,S004,97.7881
2024-01-03,S005,98.9107
2024-01-04,S000,100.9999
2024-01-04,S001,99.4943
2024-01-04,S002,102.4155
2024-01-04,S003,98.4219
2024-01-04,S004,98.5093
2024-01-04,S005,97.0138
2024-01-05,S000,102.7743
2024-01-05,S001,99.395
2024-01-05,S002,102.0369
2024-01-05,S003,97.0815
2024-01-05,S004,100.9179
2024-01-05,S005,96.714
2024-01-08,S000,101.8939
2024-01-08,S001,98.695
2024-01-08,S002,103.1232
2024-01-08,S003,97.7911
2024-01-08,S004,101.751
2024-01-08,S005,97.5473
2024-01-09,S000,106.2583
2024-01-09,S001,97.8928
2024-01-09,S002,102.0667
2024-01-09,S003,96.1995
2024-01-09,S004,103.0045
2024-01-09,S005,99.7499
2024-01-10,S000,106.0162
2024-01-10,S001,96.2478
2024-01-10,S002,100.3837
2024-01-10,S003,97.4512
2024-01-10,S004,104.5357
2024-01-10,S005,100.8335
2024-01-11,S000,104.6051
2024-01-11,S001,96.6947
2024-01-11,S002,100.6179
2024-01-11,S003,97.8775
2024-01-11,S004,106.3576
2024-01-11,S005,101.2844
2024-01-12,S000,106.0254
2024-01-12,S001,96.8254
2024-01-12,S002,101.1997
2024-01-12,S003,99.1132
2024-01-12,S004,103.258
2024-01-12,S005,100.6369
2024-01-15,S000,105.028
2024-01-15,S001,95.5882
2024-01-15,S002,100.6428
2024-01-15,S003,102.0766
2024-01-15,S004,101.4699
2024-01-15,S005,102.5857
2024-01-16,S000,101.493
2024-01-16,S001,94.948
2024-01-16,S002,100.9704
2024-01-16,S003,103.2734
2024-01-16,S004,102.9133
2024-01-16,S005,104.2135
2024-01-17,S000,100.7852
2024-01-17,S001,94.07
2024-01-17,S002,102.703
2024-01-17,S003,102.8783
2024-01-17,S004,100.2876
2024-01-17,S005,101.8514
2024-01-18,S000,98.9318
2024-01-18,S001,95.0054
2024-01-18,S002,102.9956
2024-01-18,S003,104.299
2024-01-18,S004,99.4306
2024-01-18,S005,102.1743
2024-01-19,S000,100.1697
2024-01-19,S001,94.4176
2024-01-19,S002,103.9365
2024-01-19,S003,102.9182
2024-01-19,S004,98.7086
2024-01-19,S005,101.3943
2024-01-22,S000,97.7739
2024-01-22,S001,95.3372
2024-01-22,S002,102.9608
2024-01-22,S003,102.9439
2024-01-22,S004,99.6577
2024-01-22,S005,102.2998
2024-01-23,S000,99.0751
2024-01-23,S001,95.1494
2024-01-23,S002,102.0891
2024-01-23,S003,102.7798
2024-01-23,S004,96.2946
2024-01-23,S005,99.339
2024-01-24,S000,96.4541
2024-01-24,S001,93.2516
2024-01-24,S002,102.9053
2024-01-24,S003,100.9185
2024-01-24,S004,95.5663
2024-01-24,S005,101.9203
2024-01-25,S000,95.7669
2024-01-25,S001,94.6271
2024-01-25,S002,100.9839
2024-01-25,S003,100.5039
2024-01-25,S004,93.7505
2024-01-25,S005,101.2292
2024-01-26,S000,97.3763
2024-01-26,S001,91.3581
2024-01-26,S002,101.8613
2024-01-26,S003,100.9817
2024-01-26,S004,92.6364
2024-01-26,S005,98.3015
2024-01-29,S000,97.5168
2024-01-29,S001,90.3906
2024-01-29,S002,102.3353
2024-01-29,S003,101.0259
2024-01-29,S004,95.6041
2024-01-29,S005,97.8309
2024-01-30,S000,95.5207
2024-01-30,S001,90.7147
2024-01-30,S002,102.7855
2024-01-30,S003,103.7721
2024-01-30,S004,97.2009
2024-01-30,S005,98.5292
2024-01-31,S000,98.3162
2024-01-31,S001,88.558
2024-01-31,S002,101.4704
2024-01-31,S003,101.8491
2024-01-31,S004,96.4431
2024-01-31,S005,95.8163
2024-02-01,S000,99.5651
2024-02-01,S001,88.1644
2024-02-01,S002,98.4855
2024-02-01,S003,99.7804
2024-02-01,S004,97.0478
2024-02-01,S005,97.4225
2024-02-02,S000,103.5412
2024-02-02,S001,93.3024
2024-02-02,S002,99.3018
2024-02-02,S003,97.8056
2024-02-02,S004,92.9096
2024-02-02,S005,97.9441
2024-02-05,S000,101.8577
2024-02-05,S001,92.5273
2024-02-05,S002,98.0861
2024-02-05,S003,97.5302
2024-02-05,S004,94.8904
2024-02-05,S005,98.2517
2024-02-06,S000,101.5346
2024-02-06,S001,90.6108
2024-02-06,S002,94.8009
2024-02-06,S003,96.5816
2024-02-06,S004,94.7884
2024-02-06,S005,101.7258
2024-02-07,S000,101.7991
2024-02-07,S001,92.3917
2024-02-07,S002,93.8542
2024-02-07,S003,94.2928
2024-02-07,S004,92.9587
2024-02-07,S005,100.2503
2024-02-08,S000,106.1326
2024-02-08,S001,90.8739
2024-02-08,S002,95.4281
2024-02-08,S003,92.59
2024-02-08,S004,94.6907
2024-02-08,S005,101.0221
2024-02-09,S000,105.8001
2024-02-09,S001,90.7998
2024-02-09,S002,94.1784
2024-02-09,S003,93.416
2024-02-09,S004,93.829
2024-02-09,S005,98.5458
2024-02-12,S000,103.096
2024-02-12,S001,91.1132
2024-02-12,S002,97.1527
2024-02-12,S003,93.7149
2024-02-12,S004,93.6064
2024-02-12,S005,99.1092
2024-02-13,S000,105.7889
2024-02-13,S001,91.513
2024-02-13,S002,96.3543
2024-02-13,S003,95.7884
2024-02-13,S004,94.4091
2024-02-13,S005,102.1533
2024-02-14,S000,106.1766
2024-02-14,S001,89.2719
2024-02-14,S002,93.7177
2024-02-14,S003,98.9512
2024-02-14,S004,97.6637
2024-02-14,S005,101.7866
2024-02-15,S000,105.3629
2024-02-15,S001,91.8812
2024-02-15,S002,91.6427
2024-02-15,S003,97.1805
2024-02-15,S004,98.9203
2024-02-15,S005,100.9832
2024-02-16,S000,105.3521
2024-02-16,S001,91.5809
2024-02-16,S002,92.2615
2024-02-16,S003,99.9161
2024-02-16,S004,99.0995
2024-02-16,S005,102.2838
2024-02-19,S000,101.0323
2024-02-19,S001,91.4917
2024-02-19,S002,90.7055
2024-02-19,S003,97.4806
2024-02-19,S004,97.359
2024-02-19,S005,101.6003
2024-02-20,S000,102.883
2024-02-20,S001,89.0646
2024-02-20,S002,90.7611
2024-02-20,S003,96.5366
2024-02-20,S004,96.7209
2024-02-20,S005,103.6379
2024-02-21,S000,103.9902
2024-02-21,S001,91.4469
2024-02-21,S002,90.4806
2024-02-21,S003,95.1929
2024-02-21,S004,96.2879
2024-02-21,S005,104.1405
2024-02-22,S000,104.3575
2024-02-22,S001,89.4636
2024-02-22,S002,90.6444
2024-02-22,S003,95.6274
2024-02-22,S004,101.136
2024-02-22,S005,108.0496
2024-02-23,S000,102.5766
2024-02-23,S001,88.9494
2024-02-23,S002,87.9913
2024-02-23,S003,94.4977
2024-02-23,S004,101.7743
2024-02-23,S005,110.6555
2024-02-26,S000,101.0809
2024-02-26,S001,87.7857
2024-02-26,S002,84.2125
2024-02-26,S003,94.1903
2024-02-26,S004,99.6118
2024-02-26,S005,109.4838
2024-02-27,S000,99.3082
2024-02-27,S001,87.6202
2024-02-27,S002,81.252
2024-02-27,S003,91.4266
2024-02-27,S004,103.8538
2024-02-27,S005,106.6647
2024-02-28,S000,97.1298
2024-02-28,S001,90.8392
2024-02-28,S002,85.9729
2024-02-28,S003,89.2844
2024-02-28,S004,103.0889
2024-02-28,S005,107.3934
2024-02-29,S000,100.488
2024-02-29,S001,89.0463
2024-02-29,S002,85.5511
2024-02-29,S003,90.6725
2024-02-29,S004,103.9853
2024-02-29,S005,106.5854
2024-03-01,S000,100.219
2024-03-01,S001,86.5977
2024-03-01,S002,85.1436
2024-03-01,S003,90.1894
2024-03-01,S004,104.4681
2024-03-01,S005,105.4016
2024-03-04,S000,101.1642
2024-03-04,S001,88.3517
2024-03-04,S002,85.4083
2024-03-04,S003,90.8239
2024-03-04,S004,104.5792
2024-03-04,S005,105.4018
